startup_name,sector,city,investors,funding_stage,amount_usd,year
Zilingo,E-Commerce,Other City,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0,2019
Nanoclean Global,Other,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0,2019
Oyorooms,Hospitality,Gurgaon,DiDi Chuxing,Other,100000000.0,2018
Cardekho,Other,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0,2019
Vyome Therapeutics Inc.,Other,Other City,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0,2019
Samunnati Financial Intermediation & Services Pvt. Ltd,Fintech,Chennai,"MASSIF, a Dutch government fund",Debt Funding,5000000.0,2019
Manch,Other,Delhi,Stellaris Venture Partners,Seed,700000.0,2018
Urbanclap Technologies Pvt. Ltd,Other,Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0,2018
Guiddoo,Other,Mumbai,Individual Investors,Pre-Series A,800000.0,2018
Career Anna,Other,Gurgaon,Individual Investors,Pre-Series A,572000.0,2018
Nagpur Wholesale,Other,Nagpur,Omphalos Ventures India LLP,Seed,143000.0,2018
Shopkirana,Other,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed,2000000.0,2018
Buildsupply,Other,Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0,2018
Godesi,FoodTech,Bangalore,Lead Angels Network,Seed,138995.0,2018
Veritas Finance Ltd.,Other,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0,2018
Meesho,E-Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0,2018
Mobile Premier League,Other,Bangalore,Undisclosed,Series A,500000.0,2018
A&R Bon Vivants,Other,Jaipur,"RB Investments, Singapore",Other,1000000.0,2018
Blackbuck,Other,Other City,Tiger Global,Series A,1000000.0,2018
Milkbasket,Other,Delhi,Mayfield Fund,Series B,1300000.0,2018
Driveu,Other,Bangalore,Stevens Creek Ventures,Debt Funding,1000000.0,2018
Cleansecar,Services,Bangalore,Venture Catalysts,Seed,500000.0,2018
Automation Anywhere,Other,Other City,SoftBank Vision Fund,Series B,300000000.0,2018
Healthifyme,Other,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B,6000000.0,2018
Genius Corner,EdTech,Delhi NCR,Individual investors,Seed,278000.0,2018
Aavishkaar-Intellecap Group,Other,Mumbai,Teachers Insurance and Annuity Association (TIAA),Other,31000000.0,2018
Skillbox,Other,Gurgaon,Individual investors,Seed,,2018
Signzy,Other,Other City,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0,2018
Engineer.Ai,Other,Other City,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.0,2018
Incred Finance,Fintech,Other City,"Paragon Partners, Individual Investors",Private Equity,42000000.0,2018
Roposo,Other,Delhi,Bertelsmann India Investments,Series B,1700000.0,2018
Northmist,Other,Delhi,Prashant Jaiswal,Seed,,2018
Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed,11000000.0,2018
Grover Zampa,Other,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,2018
Droom,Other,Gurgaon,ZigExN,Series E+,3000000.0,2018
Innov8,Real Estate,Delhi,Credence Family Office,Pre-Series A,4000000.0,2018
Blackbuck,Other,Bangalore,Sequoia Capital India,Other,14680000.0,2018
Letstransport,Other,Bangalore,Fosun International,Series C,12000000.0,2018
Netmeds,Consumer Internet,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0,2018
Udaan,Other,Bangalore,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0,2018
Daily Hunt,Consumer Internet,Bangalore,Falcon Edge,Private Equity,6390000.0,2018
3Hcare,Healthcare,Delhi,,Seed,1000000.0,2018
Happygoeasy,Consumer Internet,Gurgaon,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,,2018
Nykaa,Consumer Internet,Mumbai,Lighthouse,Private Equity,157200000.0,2018
Mad Street Den,Technology,Chennai,KDDI\\xc2\\xa0,Private Equity,,2018
Dream11,Consumer Internet,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0,2018
Mamaearth,Healthcare,Gurgaon,Stellaris Ventures & Others,Private Equity,4000000.0,2018
Autogrid,Technology,Bangalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0,2018
Pharmeasy,Consumer Internet,Mumbai,InnoVen Capital,Debt Funding,5500000.0,2018
Upwards,Fintech,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0,2018
Kissht,Fintech,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0,2018
Dishq,Other,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed,400000.0,2018
Healthfin,Fintech,Pune,"Axilor, Sprout Venture Partners and others",Seed,,2018
Samosa Labs,Consumer Internet,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0,2018
Ziffyhomes,Consumer Internet,Gurgaon,Y Combinator,Private Equity,120000.0,2018
My Omnamo,Consumer Internet,Mumbai,,Seed,1000000.0,2018
Shopx,Consumer Internet,Bangalore,Fung Strategic Holdings,Private Equity,35000000.0,2018
Makemytrip,Consumer Internet,Gurgaon,MakeMyTrip Limited,Private Equity,10000000.0,2018
Hansel Io,Consumer Internet,Bangalore,Vertex Ventures,Seed,4000000.0,2018
Metro Bikes,Consumer Internet,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0,2018
Phone Pe,Consumer Internet,Bangalore,Flipkart,Private Equity,66000000.0,2018
Quizizz,Other,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed,3000000.0,2018
Happy Emi,Fintech,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed,1000000.0,2018
Inthree,Consumer Internet,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed,4000000.0,2018
Observe Ai,Technology,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0,2018
Enakshi,Consumer Internet,Ahmedabad,,Seed,114811.0,2018
Eazydiner,Consumer Internet,Gurgaon,Denlow Investment Trust and Beenext,Private Equity,5850000.0,2018
Finzy,Fintech,Bangalore,,Seed,1000000.0,2018
Rawpressery,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,4800000.0,2018
Pi Ventures,Technology,Bangalore,CDC Group plc\\xc2\\xa0,Private Equity,6000000.0,2018
Revv,Consumer Internet,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.0,2018
Zestmoney,Consumer Internet,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.0,2018
Shubh Loans,Fintech,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0,2018
Myupchar,Healthcare,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000.0,2018
Narvar,Other,Bangalore,Accel (formerly known as Accel Partners),Private Equity,3000000.0,2018
True North,Fintech,Mumbai,,Private Equity,600000000.0,2018
Leena Ai,Technology,Gurgaon,Y Combinator,Seed,,2018
Biryani By Kilo,Consumer Internet,Gurgaon,Ajay Relan and Vinay Mittal,Seed,1000000.0,2018
Anchanto,Other,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.0,2018
Policybazaar,Consumer Internet,Gurgaon,Info Edge (India) Ltd and Temasek,Private Equity,27700000.0,2018
Zippserv,Consumer Internet,Bangalore,Info Edge (India) Ltd,Seed,440000.0,2018
Groww,Consumer Internet,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed,1100000.0,2018
Avenue Growth,Consumer Internet,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed,437000.0,2018
Inicu,Healthcare,Delhi,Venture Catalysts,Seed,,2018
Kinara Capital,Fintech,Bangalore,ResponsAbility,Private Equity,5000000.0,2018
Shop 101,Consumer Internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000.0,2018
Sambandh,Consumer Internet,Other City,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.0,2018
19Th Mile,Other,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed,180000.0,2018
5Th Vital,Healthcare,Bangalore,Brand Capital and Others,Seed,500000.0,2018
Mengage,Healthcare,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed,175000.0,2018
Ofbusiness,Fintech,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29000000.0,2018
Cars24,Consumer Internet,Gurgaon,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49700000.0,2018
The Ken,Consumer Internet,Bangalore,Omidyar Network & Others,Seed,1500000.0,2018
Book My Show,Consumer Internet,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,100000000.0,2018
Housingman,Consumer Internet,Bangalore,,Seed,1500000.0,2018
Paysense,Consumer Internet,Mumbai,PayU & Others,Private Equity,18000000.0,2018
Yulu Bikes,Technology,Bangalore,,Seed,,2018
Vtion,Technology,Gurgaon,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed,280000.0,2018
Log9 Materials,Technology,Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed,436000.0,2018
Kidovators,Other,Bangalore,Gray Matters,Seed,180000.0,2018
Digit,Consumer Internet,Pune,Fairfax,Private Equity,45000000.0,2018
Black Soil,Fintech,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,17000000.0,2018
Trell,Consumer Internet,Bangalore,"BeeNext , WEH Ventures and Sprout Ventures",Seed,1250000.0,2018
Iqlect,Technology,Bangalore,Ventureast and Exfinity,Seed,2500000.0,2018
Entropik,Other,Bangalore,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed,1100000.0,2018
Bitla Software,Technology,Bangalore,MakeMyTrip,Private Equity,,2018
Thecapitalnet,Fintech,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000.0,2018
Shuttl,Consumer Internet,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000.0,2018
Cure Fit,Consumer Internet,Bangalore,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000.0,2018
Five Star Group,Fintech,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000.0,2018
Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Seed,5000000.0,2018
Cointribe,Fintech,Gurgaon,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000.0,2018
Digiconectt,Technology,Bangalore,Aspire Logistics LLC,Seed,125000.0,2018
Kashmir Box,E-Commerce,Other City,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed,,2018
Crowdera,Fintech,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed,,2018
Zoctr,Healthcare,Mumbai,NB Ventures and Others,Seed,,2018
Annapurna Finance,Fintech,Other City,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000.0,2018
Meesho,Consumer Internet,Bangalore,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,11500000.0,2018
Ayefinance,Fintech,Gurgaon,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,21500000.0,2018
Theranosis,Healthcare,Hyderabad,Mumbai Angels Network,Seed,,2018
Alpha Capital,Fintech,Mumbai,Alpha Capital,Private Equity,14800000.0,2018
Eshakti,E-Commerce,Chennai,Paragon Partners,Private Equity,10100000.0,2018
Daily Ninja,Consumer Internet,Bangalore,Saama Capital and Sequoia Capital,Seed,3000000.0,2018
Nirogstreet,Healthcare,Gurgaon,"Spiral Ventures, Subho Ray and Samir Kumar",Seed,300000.0,2018
Nivesh,Fintech,Delhi NCR,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed,450000.0,2018
What\\Xe2\\X80\\X99S Up Life,Consumer Internet,Gurgaon,Rannvijay Singha,Seed,,2018
Homelane,Consumer Internet,Bangalore,Brand Capital,Seed,3450000.0,2018
Network Intelligence,Technology,Mumbai,Helix Investments,Private Equity,4800000.0,2018
Tynor Othontics,Healthcare,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,21000000.0,2018
Elucidata,Other,Other City,Hyperplane Venture Capital and several angel investors,Seed,1700000.0,2018
Chrysalis,Other,Pune,Menterra Venture & Artha Initiatives,Seed,,2018
Rentsher,Consumer Internet,Bangalore,"Shorooq Investments, LetsVenture & Others",Seed,1100000.0,2018
Drip Capital,Fintech,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,15000000.0,2018
Wickedride,Consumer Internet,Bangalore,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,9100000.0,2018
Policybazaar,Consumer Internet,Gurgaon,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000.0,2018
Hipbar,Consumer Internet,Bangalore,Diageo India,Private Equity,4000000.0,2018
Sqqrl,Fintech,Gurgaon,Equanimity Venture Fund,Seed,1000000.0,2018
Paytm,Technology,Delhi NCR,One 97 Communications,Private Equity,8950000.0,2018
Sigtuple,Healthcare,Bangalore,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,19000000.0,2018
Wow Express,Technology,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,4500000.0,2018
Front Desk Ai,Technology,Bangalore,Speciale Invest & Others,Seed,1100000.0,2018
Edureka,Other,Bangalore,Leo Capital,Seed,2000000.0,2018
Numeroseven,Technology,Other City,Shiva Gunapu & Others,Seed,,2018
Opentap,Fintech,Chennai,Unknown High Net-Worth Individuals,Seed,450000.0,2018
Bizongo,Consumer Internet,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22000000.0,2018
Disprz,Other,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed,2500000.0,2018
Paisadukan,Consumer Internet,Mumbai,,Seed,225000.0,2018
I3Sysytems,Technology,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed,1000000.0,2018
Earth Food,Consumer Internet,Pune,Rairah Corporation,Seed,949000.0,2018
Nykaa,Consumer Internet,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,24000000.0,2018
Mfine,Healthcare,Bangalore,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,4200000.0,2018
Rocketium,Technology,Bangalore,Blume ventures,Seed,300000.0,2018
Milkbasket,Technology,Gurgaon,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,7000000.0,2018
Vola,Fintech,Bangalore,Credika and unnamed angel investors,Seed,500000.0,2018
